はい、承知いたしました。以下に文字起こしを示します。

[00:00:00] お誕生日、おめでとう。
[00:00:04] めでたくない。
[00:00:05] めでたくない。かほ。
[00:00:07] 言っちゃって。
[00:00:10] 今日からあんたは女の子じゃない。
[00:00:12] INTEGRATE GIRL’S STORY “Un Happy Birthday?”
[00:00:15] 25歳の始めだよ。世の中一気にリアルワールド。
[00:00:18] もうチヤホヤされないし褒めてもくれない。下にはキラキラした後輩週末ごとにアップされる結婚式の写真、白いタキシード受ける。
[00:00:25] このままじゃやばい。なんで？いつからこうなった？可愛いという武器はもはやこの手にはない。でも可愛い大人の人だっているもん。
[00:00:33] いるよね。どっちよ。
[00:00:35] 可愛いをアップデートできる女になるかこのままステイか。
[00:00:39] てこと？
[00:00:40] かも。私こっち。
[00:00:42] 私も、私も。
[00:00:45] なんか燃えてきた。
[00:00:49] 生き方が、これからの顔になる。#いい女なろう
[00:00:58] インテグレートオールニュー。
