はい、承知しました。以下に文字起こしをします。

[00:00:03] お誕生日おめでとう。
[00:00:07] めでたくない。
[00:00:08] めでたくない。
[00:00:09] かほ。
[00:00:10] いっつちゃって。
[00:00:11] ペー。
[00:00:13] 今日からあんたは女の子じゃない。
[00:00:18] 25歳だ。
[00:00:19] 悲鳴だよ。
[00:00:20] もうチヤホヤされないし、褒めてもくれない。
[00:00:23] 下にはキラッキラした後輩。
[00:00:24] 週末ごとにアップされる結婚式の写真。
[00:00:27] 白いタキシード受ける（元カレ）。
[00:00:28] このままじゃやばい。
[00:00:30] なんで？
[00:00:30] いつからこうなった？
[00:00:32] カワイイという武器はもはやこの手にはない。
[00:00:34] でも、可愛い大人の人だって言うんですよ。
[00:00:36] いるよね。
[00:00:36] どっちよ。
[00:00:38] だからあれじゃん。
[00:00:38] カワイイをアップデートできる女になるか、このままステイか。
[00:00:42] ってこと？
[00:00:43] かも。
[00:00:44] 私こっち。
[00:00:45] 私も。
[00:00:46] 私。
[00:00:47] なんか、
[00:00:51] 燃えてきた。

[01:01:01] インテグレート オールニュー。
